# id	expected	gate	prompt
# Anchors - the unambiguous phrasings each description claims outright.
file-anchor-log-bug	file-work-item	strict	log a bug for the crash on startup
file-anchor-gh-issue	file-work-item	strict	open a GitHub issue for the flaky test in CI
refine-anchor-conform	refine-work-item	strict	refine this work item so it matches our conventions
refine-anchor-fixup-id	refine-work-item	strict	fix up DX-22
# Near-collisions - same noun, opposite answer. This is what the AC is actually about.
file-collide-ticket	file-work-item	strict	create a ticket for the migration work
refine-collide-issue	refine-work-item	strict	clean up this issue
file-collide-task	file-work-item	strict	write a task for the migration
refine-collide-task	refine-work-item	strict	tidy up this task
file-collide-bugreport	file-work-item	strict	sort out a bug report for this crash
refine-collide-bugreport	refine-work-item	strict	this bug report is a mess, sort it out
# Distractors - other skills in this repo that share work item vocabulary.
distractor-migrate-named	migrate-work-item-config	strict	migrate the plane config
distractor-migrate-fixup	migrate-work-item-config	strict	fix up this repo's work item config
distractor-wrap	wf-wrap	strict	wrap this up
# Seam - the create/improve boundary, where the phrasing genuinely supports both readings.
# These run as `observe` until measured: a case earns `strict` by scoring 1.0, not by looking easy.
seam-needs-work-item	file-work-item	observe	this needs a work item
seam-id-needs-work	refine-work-item	observe	DX-22 needs work
seam-write-up-properly	file-work-item	observe	write this bug up properly
seam-improve-description	refine-work-item	observe	improve the description on this
seam-track-this	file-work-item	observe	we should track this somewhere
seam-not-our-conventions	refine-work-item	observe	this ticket doesn't follow our conventions
seam-redo-from-scratch	refine-work-item	observe	redo this work item from scratch
seam-file-and-conform	file-work-item	observe	make a work item for this and make it match our style
# wf-shape / wf-spec-review / wf-impl-review anchors.
shape-anchor-start	wf-shape	observe	let's start on DX-57
specrev-anchor-spec	wf-spec-review	observe	review this spec before we build it
implrev-anchor-cycle	wf-impl-review	observe	run the reviewer cycle over this branch
implrev-anchor-multi	wf-impl-review	observe	get four reviewers onto this branch one after another
# The contested pairs - same verb, opposite answers.
boundary-review-design	wf-spec-review	observe	run the reviewer cycle over the design doc
boundary-review-branch	wf-impl-review	observe	run the reviewer cycle over what I've committed
# wf-shape must not swallow the filing skills; "let's start on" does not make a new bug an existing work item.
boundary-shape-vs-file	file-work-item	observe	let's start on a new bug for the resolver rejecting comments
# wf-shape's Do-NOT clause is scoped to reviewing an existing spec, not to picking up work with one; the prompt must request the review to test that boundary.
boundary-shape-vs-specrev	wf-spec-review	observe	let's pick up DX-57 - the spec is written, get the reviewers on it
# wf-impl-review's Do-NOT clause points single-pass review at the built-in code-review skill; this is the other half of that pair.
boundary-implrev-vs-codereview	code-review	observe	review the diff I've got right now
